intent,question,normalized_question,status,reason,response_text,http_status,error
ask_company_backlogs (3 variations),Does Amazon allow backlogs?,Does Amazon allow backlogs?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_backlogs (3 variations),What is the maximum backlog allowed for Google?,What is the maximum backlog allowed for Google?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_backlogs (3 variations),Which companies do not allow any backlogs?,Which companies do not allow any backlogs?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_category (14 variations),Is [Amazon](company) a product company?,Is Amazon a product company?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_category (14 variations),Is [Infosys](company) a service company?,Is Infosys a service company?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_category (14 variations),What type of company is [Microsoft](company)?,What type of company is Microsoft?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_category (14 variations),What category does [Accenture](company) belong to?,What category does Accenture belong to?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_category (14 variations),Is [Google](company) a product company?,Is Google a product company?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_category (14 variations),Is [TCS](company) a service company?,Is TCS a service company?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_category (14 variations),What category is [Zoho](company)?,What category is Zoho?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_category (14 variations),Is [IBM](company) a product company?,Is IBM a product company?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_category (14 variations),What type of company is [Adobe](company)?,What type of company is Adobe?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_category (14 variations),Is [Wipro](company) a service company?,Is Wipro a service company?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_category (14 variations),service or product [Flipkart](company)?,service or product Flipkart?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_category (14 variations),[Oracle](company) product based?,Oracle product based?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_category (14 variations),[HCL](company) service company?,HCL service company?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_category (14 variations),[Cognizant](company) which type?,Cognizant which type?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_difficulty (15 variations),How difficult is [Google](company) to get into?,How difficult is Google to get into?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_difficulty (15 variations),Is [Amazon](company) hard to crack?,Is Amazon hard to crack?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_difficulty (15 variations),Is [Infosys](company) easy to get into?,Is Infosys easy to get into?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_difficulty (15 variations),What is the difficulty level of [Microsoft](company)?,What is the difficulty level of Microsoft?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_difficulty (15 variations),Is [Adobe](company) competitive?,Is Adobe competitive?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_difficulty (15 variations),How tough is the interview at [Zoho](company)?,How tough is the interview at Zoho?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_difficulty (15 variations),Is [Accenture](company) difficult to crack?,Is Accenture difficult to crack?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_difficulty (15 variations),How competitive is [IBM](company) hiring?,How competitive is IBM hiring?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_difficulty (15 variations),Is [TCS](company) easy to get selected in?,Is TCS easy to get selected in?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_difficulty (15 variations),How difficult is [Wipro](company) placement process?,How difficult is Wipro placement process?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_difficulty (15 variations),how tough is [Flipkart](company)?,how tough is Flipkart?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_difficulty (15 variations),[Oracle](company) selection difficulty,Oracle selection difficulty,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_difficulty (15 variations),is [HCL](company) hard to crack?,is HCL hard to crack?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_difficulty (15 variations),[Cognizant](company) easy or hard?,Cognizant easy or hard?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_difficulty (15 variations),how easy is [Capgemini](company)?,how easy is Capgemini?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_eligibility (6 variations),Can I apply for [Google](company) with 7 CGPA?,Can I apply for Google with 7 CGPA?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_eligibility (6 variations),Am I eligible for [Accenture](company) with 6.5 CGPA?,Am I eligible for Accenture with 6.5 CGPA?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_eligibility (6 variations),"I have 8 CGPA, am I eligible for [TCS](company)?","I have 8 CGPA, am I eligible for TCS?",request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_eligibility (6 variations),can someone with 6 cgpa apply to [Wipro](company)?,can someone with 6 cgpa apply to Wipro?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_eligibility (6 variations),[Infosys](company) eligible with 2 backlogs?,Infosys eligible with 2 backlogs?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_eligibility (6 variations),my cgpa is 7.5 can I sit for [IBM](company)?,my cgpa is 7.5 can I sit for IBM?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_hiring_pattern (14 variations),Does [TCS](company) hire many students?,Does TCS hire many students?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_hiring_pattern (14 variations),How often does [Infosys](company) hire?,How often does Infosys hire?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_hiring_pattern (14 variations),Is [Accenture](company) a mass recruiter?,Is Accenture a mass recruiter?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_hiring_pattern (14 variations),What is the hiring pattern of [Amazon](company)?,What is the hiring pattern of Amazon?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_hiring_pattern (14 variations),How active is [Google](company) in campus placements?,How active is Google in campus placements?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_hiring_pattern (14 variations),Does [Wipro](company) recruit a lot of students?,Does Wipro recruit a lot of students?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_hiring_pattern (14 variations),Is [IBM](company) a mass recruiter?,Is IBM a mass recruiter?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_hiring_pattern (14 variations),How frequently does [Microsoft](company) hire freshers?,How frequently does Microsoft hire freshers?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_hiring_pattern (14 variations),How many students does [Zoho](company) usually hire?,How many students does Zoho usually hire?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_hiring_pattern (14 variations),Does [Adobe](company) hire many graduates?,Does Adobe hire many graduates?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_hiring_pattern (14 variations),how selective is [Flipkart](company)?,how selective is Flipkart?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_hiring_pattern (14 variations),[Oracle](company) bulk hiring?,Oracle bulk hiring?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_hiring_pattern (14 variations),does [HCL](company) do mass recruitment?,does HCL do mass recruitment?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_hiring_pattern (14 variations),[Cognizant](company) recruiting lots?,Cognizant recruiting lots?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_job_roles (14 variations),What roles does [Amazon](company) offer?,What roles does Amazon offer?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_job_roles (14 variations),What job roles are available at [Google](company)?,What job roles are available at Google?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_company_job_roles (14 variations),What positions does [Microsoft](company) hire for?,What positions does Microsoft hire for?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
