intent,question,normalized_question,status,reason,response_text,http_status,error
ask_backlog_rules (6 variations),college backlog policy,college backlog policy,answered,dry-run,,0,
ask_backlog_rules (6 variations),general backlog rules,general backlog rules,answered,dry-run,,0,
ask_company_backlogs (3 variations),Does Amazon allow backlogs?,Does Amazon allow backlogs?,answered,dry-run,,0,
ask_company_backlogs (3 variations),What is the maximum backlog allowed for Google?,What is the maximum backlog allowed for Google?,answered,dry-run,,0,
ask_company_backlogs (3 variations),Which companies do not allow any backlogs?,Which companies do not allow any backlogs?,answered,dry-run,,0,
ask_company_category (14 variations),Is [Amazon](company) a product company?,Is Amazon a product company?,answered,dry-run,,0,
ask_company_category (14 variations),Is [Infosys](company) a service company?,Is Infosys a service company?,answered,dry-run,,0,
ask_company_category (14 variations),What type of company is [Microsoft](company)?,What type of company is Microsoft?,answered,dry-run,,0,
ask_company_category (14 variations),What category does [Accenture](company) belong to?,What category does Accenture belong to?,answered,dry-run,,0,
ask_company_category (14 variations),Is [Google](company) a product company?,Is Google a product company?,answered,dry-run,,0,
ask_company_category (14 variations),Is [TCS](company) a service company?,Is TCS a service company?,answered,dry-run,,0,
ask_company_category (14 variations),What category is [Zoho](company)?,What category is Zoho?,answered,dry-run,,0,
ask_company_category (14 variations),Is [IBM](company) a product company?,Is IBM a product company?,answered,dry-run,,0,
ask_company_category (14 variations),What type of company is [Adobe](company)?,What type of company is Adobe?,answered,dry-run,,0,
ask_company_category (14 variations),Is [Wipro](company) a service company?,Is Wipro a service company?,answered,dry-run,,0,
ask_company_category (14 variations),service or product [Flipkart](company)?,service or product Flipkart?,answered,dry-run,,0,
ask_company_category (14 variations),[Oracle](company) product based?,Oracle product based?,answered,dry-run,,0,
ask_company_category (14 variations),[HCL](company) service company?,HCL service company?,answered,dry-run,,0,
ask_company_category (14 variations),[Cognizant](company) which type?,Cognizant which type?,answered,dry-run,,0,
ask_company_difficulty (15 variations),How difficult is [Google](company) to get into?,How difficult is Google to get into?,answered,dry-run,,0,
ask_company_difficulty (15 variations),Is [Amazon](company) hard to crack?,Is Amazon hard to crack?,answered,dry-run,,0,
ask_company_difficulty (15 variations),Is [Infosys](company) easy to get into?,Is Infosys easy to get into?,answered,dry-run,,0,
ask_company_difficulty (15 variations),What is the difficulty level of [Microsoft](company)?,What is the difficulty level of Microsoft?,answered,dry-run,,0,
ask_company_difficulty (15 variations),Is [Adobe](company) competitive?,Is Adobe competitive?,answered,dry-run,,0,
ask_company_difficulty (15 variations),How tough is the interview at [Zoho](company)?,How tough is the interview at Zoho?,answered,dry-run,,0,
ask_company_difficulty (15 variations),Is [Accenture](company) difficult to crack?,Is Accenture difficult to crack?,answered,dry-run,,0,
ask_company_difficulty (15 variations),How competitive is [IBM](company) hiring?,How competitive is IBM hiring?,answered,dry-run,,0,
ask_company_difficulty (15 variations),Is [TCS](company) easy to get selected in?,Is TCS easy to get selected in?,answered,dry-run,,0,
ask_company_difficulty (15 variations),How difficult is [Wipro](company) placement process?,How difficult is Wipro placement process?,answered,dry-run,,0,
ask_company_difficulty (15 variations),how tough is [Flipkart](company)?,how tough is Flipkart?,answered,dry-run,,0,
ask_company_difficulty (15 variations),[Oracle](company) selection difficulty,Oracle selection difficulty,answered,dry-run,,0,
ask_company_difficulty (15 variations),is [HCL](company) hard to crack?,is HCL hard to crack?,answered,dry-run,,0,
ask_company_difficulty (15 variations),[Cognizant](company) easy or hard?,Cognizant easy or hard?,answered,dry-run,,0,
ask_company_difficulty (15 variations),how easy is [Capgemini](company)?,how easy is Capgemini?,answered,dry-run,,0,
ask_company_eligibility (6 variations),Can I apply for [Google](company) with 7 CGPA?,Can I apply for Google with 7 CGPA?,answered,dry-run,,0,
ask_company_eligibility (6 variations),Am I eligible for [Accenture](company) with 6.5 CGPA?,Am I eligible for Accenture with 6.5 CGPA?,answered,dry-run,,0,
ask_company_eligibility (6 variations),"I have 8 CGPA, am I eligible for [TCS](company)?","I have 8 CGPA, am I eligible for TCS?",answered,dry-run,,0,
ask_company_eligibility (6 variations),can someone with 6 cgpa apply to [Wipro](company)?,can someone with 6 cgpa apply to Wipro?,answered,dry-run,,0,
ask_company_eligibility (6 variations),[Infosys](company) eligible with 2 backlogs?,Infosys eligible with 2 backlogs?,answered,dry-run,,0,
ask_company_eligibility (6 variations),my cgpa is 7.5 can I sit for [IBM](company)?,my cgpa is 7.5 can I sit for IBM?,answered,dry-run,,0,
ask_company_hiring_pattern (14 variations),Does [TCS](company) hire many students?,Does TCS hire many students?,answered,dry-run,,0,
ask_company_hiring_pattern (14 variations),How often does [Infosys](company) hire?,How often does Infosys hire?,answered,dry-run,,0,
ask_company_hiring_pattern (14 variations),Is [Accenture](company) a mass recruiter?,Is Accenture a mass recruiter?,answered,dry-run,,0,
ask_company_hiring_pattern (14 variations),What is the hiring pattern of [Amazon](company)?,What is the hiring pattern of Amazon?,answered,dry-run,,0,
ask_company_hiring_pattern (14 variations),How active is [Google](company) in campus placements?,How active is Google in campus placements?,answered,dry-run,,0,
ask_company_hiring_pattern (14 variations),Does [Wipro](company) recruit a lot of students?,Does Wipro recruit a lot of students?,answered,dry-run,,0,
ask_company_hiring_pattern (14 variations),Is [IBM](company) a mass recruiter?,Is IBM a mass recruiter?,answered,dry-run,,0,
ask_company_hiring_pattern (14 variations),How frequently does [Microsoft](company) hire freshers?,How frequently does Microsoft hire freshers?,answered,dry-run,,0,
ask_company_hiring_pattern (14 variations),How many students does [Zoho](company) usually hire?,How many students does Zoho usually hire?,answered,dry-run,,0,
ask_company_hiring_pattern (14 variations),Does [Adobe](company) hire many graduates?,Does Adobe hire many graduates?,answered,dry-run,,0,
ask_company_hiring_pattern (14 variations),how selective is [Flipkart](company)?,how selective is Flipkart?,answered,dry-run,,0,
ask_company_hiring_pattern (14 variations),[Oracle](company) bulk hiring?,Oracle bulk hiring?,answered,dry-run,,0,
ask_company_hiring_pattern (14 variations),does [HCL](company) do mass recruitment?,does HCL do mass recruitment?,answered,dry-run,,0,
ask_company_hiring_pattern (14 variations),[Cognizant](company) recruiting lots?,Cognizant recruiting lots?,answered,dry-run,,0,
ask_company_job_roles (14 variations),What roles does [Amazon](company) offer?,What roles does Amazon offer?,answered,dry-run,,0,
ask_company_job_roles (14 variations),What job roles are available at [Google](company)?,What job roles are available at Google?,answered,dry-run,,0,
ask_company_job_roles (14 variations),What positions does [Microsoft](company) hire for?,What positions does Microsoft hire for?,answered,dry-run,,0,
ask_company_job_roles (14 variations),What role can I get in [Infosys](company)?,What role can I get in Infosys?,answered,dry-run,,0,
ask_company_job_roles (14 variations),Does [Adobe](company) offer SDE roles?,Does Adobe offer SDE roles?,answered,dry-run,,0,
ask_company_job_roles (14 variations),What jobs does [Zoho](company) offer freshers?,What jobs does Zoho offer freshers?,answered,dry-run,,0,
ask_company_job_roles (14 variations),What roles are available in [Accenture](company)?,What roles are available in Accenture?,answered,dry-run,,0,
ask_company_job_roles (14 variations),What job roles does [IBM](company) offer?,What job roles does IBM offer?,answered,dry-run,,0,
ask_company_job_roles (14 variations),What roles does [TCS](company) provide?,What roles does TCS provide?,answered,dry-run,,0,
ask_company_job_roles (14 variations),What positions does [Wipro](company) hire for?,What positions does Wipro hire for?,answered,dry-run,,0,
ask_company_job_roles (14 variations),fresher roles at [Flipkart](company),fresher roles at Flipkart,answered,dry-run,,0,
ask_company_job_roles (14 variations),[Oracle](company) designations for freshers,Oracle designations for freshers,answered,dry-run,,0,
ask_company_job_roles (14 variations),what can I become at [HCL](company)?,what can I become at HCL?,answered,dry-run,,0,
ask_company_job_roles (14 variations),[Cognizant](company) entry level roles,Cognizant entry level roles,answered,dry-run,,0,
ask_company_overview (1 variations),Tell me about Amazon.,Tell me about Amazon.,answered,dry-run,,0,
ask_company_preparation (21 variations),How should I prepare for [Amazon](company)?,How should I prepare for Amazon?,answered,dry-run,,0,
ask_company_preparation (21 variations),What topics should I study for [Google](company)?,What topics should I study for Google?,answered,dry-run,,0,
ask_company_preparation (21 variations),What should I focus on for [Microsoft](company) interview?,What should I focus on for Microsoft interview?,answered,dry-run,,0,
ask_company_preparation (21 variations),What preparation is needed for [Adobe](company)?,What preparation is needed for Adobe?,answered,dry-run,,0,
ask_company_preparation (21 variations),How can I prepare for [Zoho](company) placement?,How can I prepare for Zoho placement?,answered,dry-run,,0,
ask_company_preparation (21 variations),What should I study for [Infosys](company)?,What should I study for Infosys?,answered,dry-run,,0,
ask_company_preparation (21 variations),How to prepare for [TCS](company) interview?,How to prepare for TCS interview?,answered,dry-run,,0,
ask_company_preparation (21 variations),What topics should I study for [IBM](company)?,What topics should I study for IBM?,answered,dry-run,,0,
ask_company_preparation (21 variations),How to prepare for [Accenture](company) placements?,How to prepare for Accenture placements?,answered,dry-run,,0,
ask_company_preparation (21 variations),What should I study for [Wipro](company) interview?,What should I study for Wipro interview?,answered,dry-run,,0,
ask_company_preparation (21 variations),prep guide for [Flipkart](company),prep guide for Flipkart,answered,dry-run,,0,
ask_company_preparation (21 variations),how do I crack [Oracle](company)?,how do I crack Oracle?,answered,dry-run,,0,
ask_company_preparation (21 variations),study plan for [HCL](company),study plan for HCL,answered,dry-run,,0,
ask_company_preparation (21 variations),preparation for [Razorpay](company),preparation for Razorpay,answered,dry-run,,0,
ask_company_preparation (21 variations),what to focus on [Cognizant](company),what to focus on Cognizant,answered,dry-run,,0,
ask_company_preparation (21 variations),[Capgemini](company) how to prepare,Capgemini how to prepare,answered,dry-run,,0,
ask_company_preparation (21 variations),[Netflix](company) preparation topics,Netflix preparation topics,answered,dry-run,,0,
ask_company_preparation (21 variations),what should I learn for [Swiggy](company)?,what should I learn for Swiggy?,answered,dry-run,,0,
ask_company_preparation (21 variations),topics to cover for [Zomato](company),topics to cover for Zomato,answered,dry-run,,0,
ask_company_preparation (21 variations),how to crack [Amazon](company) interview?,how to crack Amazon interview?,answered,dry-run,,0,
ask_company_preparation (21 variations),what areas to cover for [Google](company) placement?,what areas to cover for Google placement?,answered,dry-run,,0,
ask_company_tier (1 variations),What tier is Google in?,What tier is Google in?,answered,dry-run,,0,
ask_company_tier_info (15 variations),What does Tier-1 mean for [Amazon](company)?,What does Tier-1 mean for Amazon?,answered,dry-run,,0,
ask_company_tier_info (15 variations),What tier is [Amazon](company)?,What tier is Amazon?,answered,dry-run,,0,
ask_company_tier_info (15 variations),Is [Google](company) a Tier 1 company?,Is Google a Tier 1 company?,answered,dry-run,,0,
ask_company_tier_info (15 variations),Is [Infosys](company) a Tier 2 company?,Is Infosys a Tier 2 company?,answered,dry-run,,0,
ask_company_tier_info (15 variations),Is [Microsoft](company) a top company?,Is Microsoft a top company?,answered,dry-run,,0,
ask_company_tier_info (15 variations),What tier is [Accenture](company)?,What tier is Accenture?,answered,dry-run,,0,
ask_company_tier_info (15 variations),Is [Adobe](company) Tier 1?,Is Adobe Tier 1?,answered,dry-run,,0,
ask_company_tier_info (15 variations),What tier company is [TCS](company)?,What tier company is TCS?,answered,dry-run,,0,
ask_company_tier_info (15 variations),Is [Zoho](company) a Tier 1 company?,Is Zoho a Tier 1 company?,answered,dry-run,,0,
ask_company_tier_info (15 variations),What tier is [IBM](company)?,What tier is IBM?,answered,dry-run,,0,
ask_company_tier_info (15 variations),Is [Wipro](company) a Tier 2 company?,Is Wipro a Tier 2 company?,answered,dry-run,,0,
ask_company_tier_info (15 variations),What does tier mean for [Google](company)?,What does tier mean for Google?,answered,dry-run,,0,
ask_company_tier_info (15 variations),Is [Amazon](company) a tier 1 firm?,Is Amazon a tier 1 firm?,answered,dry-run,,0,
ask_company_tier_info (15 variations),[HCL](company) tier meaning,HCL tier meaning,answered,dry-run,,0,
ask_company_tier_info (15 variations),tier details [Oracle](company),tier details Oracle,answered,dry-run,,0,
ask_company_tiers_explained (6 variations),What is a Tier-1 company?,What is a Tier-1 company?,answered,dry-run,,0,
ask_company_tiers_explained (6 variations),explain company tiers,explain company tiers,answered,dry-run,,0,
ask_company_tiers_explained (6 variations),difference between tier 1 and tier 3,difference between tier 1 and tier 3,answered,dry-run,,0,
ask_company_tiers_explained (6 variations),what does tier 2 mean?,what does tier 2 mean?,answered,dry-run,,0,
ask_company_tiers_explained (6 variations),company tier classification,company tier classification,answered,dry-run,,0,
ask_company_tiers_explained (6 variations),tier system explained,tier system explained,answered,dry-run,,0,
ask_comparison_templates (5 variations),Compare Amazon and Google packages.,Compare Amazon and Google packages.,answered,dry-run,,0,
ask_comparison_templates (5 variations),Which is better: Amazon or Microsoft?,Which is better: Amazon or Microsoft?,answered,dry-run,,0,
ask_comparison_templates (5 variations),Which company has a higher average package: Flipkart or Walmart?,Which company has a higher average package: Flipkart or Walmart?,answered,dry-run,,0,
ask_comparison_templates (5 variations),Which company has easier eligibility: Amazon or Flipkart?,Which company has easier eligibility: Amazon or Flipkart?,answered,dry-run,,0,
ask_comparison_templates (5 variations),Which company has more interview rounds?,Which company has more interview rounds?,answered,dry-run,,0,
ask_complex_templates (8 variations),Which Tier 1 companies offer more than 20 LPA and require CGPA above 8?,Which Tier 1 companies offer more than 20 LPA and require CGPA above 8?,answered,dry-run,,0,
ask_complex_templates (8 variations),Which companies have high hiring intensity but fewer interview rounds?,Which companies have high hiring intensity but fewer interview rounds?,answered,dry-run,,0,
ask_complex_templates (8 variations),Which companies offer high salary but allow backlogs?,Which companies offer high salary but allow backlogs?,answered,dry-run,,0,
ask_complex_templates (8 variations),Which companies require strong DSA and System Design preparation?,Which companies require strong DSA and System Design preparation?,answered,dry-run,,0,
ask_complex_templates (8 variations),Which companies are best for CSE students with 7 CGPA?,Which companies are best for CSE students with 7 CGPA?,answered,dry-run,,0,
ask_complex_templates (8 variations),Which companies offer the best package with the lowest CGPA requirement?,Which companies offer the best package with the lowest CGPA requirement?,answered,dry-run,,0,
ask_complex_templates (8 variations),Which companies have high packages and short interview processes?,Which companies have high packages and short interview processes?,answered,dry-run,,0,
ask_complex_templates (8 variations),Which companies require the most preparation topics?,Which companies require the most preparation topics?,answered,dry-run,,0,
ask_count_companies (13 variations),number of product based companies,number of product based companies,answered,dry-run,,0,
ask_count_companies (13 variations),count companies for CS students,count companies for CS students,answered,dry-run,,0,
ask_count_companies (13 variations),how many companies hire IT branch,how many companies hire IT branch,answered,dry-run,,0,
ask_count_companies (13 variations),total companies above 15 LPA,total companies above 15 LPA,answered,dry-run,,0,
ask_count_companies (13 variations),how many companies for 7.5 cgpa,how many companies for 7.5 cgpa,answered,dry-run,,0,
ask_count_companies (13 variations),count of companies accepting 6 cgpa,count of companies accepting 6 cgpa,answered,dry-run,,0,
ask_count_companies (13 variations),total count of companies,total count of companies,answered,dry-run,,0,
ask_count_companies (13 variations),how many firms are recruiting,how many firms are recruiting,answered,dry-run,,0,
ask_count_companies (13 variations),number of companies with high salary,number of companies with high salary,answered,dry-run,,0,
ask_count_companies (13 variations),total count of backlog accepting companies,total count of backlog accepting companies,answered,dry-run,,0,
ask_count_companies (13 variations),number of companies open to backlogs,number of companies open to backlogs,answered,dry-run,,0,
ask_count_companies (13 variations),how many companies take students with backlogs,how many companies take students with backlogs,answered,dry-run,,0,
ask_count_companies (13 variations),count of companies permitting backlogs,count of companies permitting backlogs,answered,dry-run,,0,
ask_decision_templates (4 variations),Should I focus on Amazon or Microsoft?,Should I focus on Amazon or Microsoft?,answered,dry-run,,0,
ask_decision_templates (4 variations),Which company is easier to crack?,Which company is easier to crack?,answered,dry-run,,0,
ask_decision_templates (4 variations),Which company gives the best salary vs difficulty ratio?,Which company gives the best salary vs difficulty ratio?,answered,dry-run,,0,
ask_decision_templates (4 variations),Which company has the best chance of selection?,Which company has the best chance of selection?,answered,dry-run,,0,
ask_eligibility_strategy_templates (4 variations),Can I apply for Amazon with 7.5 CGPA and 1 backlog?,Can I apply for Amazon with 7.5 CGPA and 1 backlog?,answered,dry-run,,0,
ask_eligibility_strategy_templates (4 variations),Which companies can I apply to with 7 CGPA?,Which companies can I apply to with 7 CGPA?,answered,dry-run,,0,
ask_eligibility_strategy_templates (4 variations),Which companies are best for students with low CGPA?,Which companies are best for students with low CGPA?,answered,dry-run,,0,
ask_eligibility_strategy_templates (4 variations),Which companies are easiest to get into?,Which companies are easiest to get into?,answered,dry-run,,0,
ask_eligibility_summary (8 variations),What is the eligibility criteria for [Amazon](company)?,What is the eligibility criteria for Amazon?,answered,dry-run,,0,
ask_eligibility_summary (8 variations),What are the requirements for [Infosys](company)?,What are the requirements for Infosys?,answered,dry-run,,0,
ask_eligibility_summary (8 variations),What qualifications are needed for [TCS](company)?,What qualifications are needed for TCS?,answered,dry-run,,0,
ask_eligibility_summary (8 variations),What do I need to apply to [Zoho](company)?,What do I need to apply to Zoho?,answered,dry-run,,0,
ask_eligibility_summary (8 variations),Can I apply to [Wipro](company) with my profile?,Can I apply to Wipro with my profile?,answered,dry-run,,0,
ask_eligibility_summary (8 variations),full eligibility for [Adobe](company),full eligibility for Adobe,answered,dry-run,,0,
ask_eligibility_summary (8 variations),[Accenture](company) who is eligible,Accenture who is eligible,answered,dry-run,,0,
ask_eligibility_summary (8 variations),what does [IBM](company) look for?,what does IBM look for?,answered,dry-run,,0,
ask_explanation (12 variations),Can you explain my salary prediction?,Can you explain my salary prediction?,answered,dry-run,,0,
ask_explanation (12 variations),Why is my placement probability low?,Why is my placement probability low?,answered,dry-run,,0,
ask_explanation (12 variations),Why is my predicted salary high?,Why is my predicted salary high?,answered,dry-run,,0,
ask_explanation (12 variations),Can I improve my placement chances?,Can I improve my placement chances?,answered,dry-run,,0,
ask_explanation (12 variations),How can I increase my expected salary?,How can I increase my expected salary?,answered,dry-run,,0,
ask_explanation (12 variations),Why am I fit for these companies?,Why am I fit for these companies?,answered,dry-run,,0,
ask_explanation (12 variations),What factors affect my salary prediction?,What factors affect my salary prediction?,answered,dry-run,,0,
ask_explanation (12 variations),Explain my job role prediction,Explain my job role prediction,answered,dry-run,,0,
ask_explanation (12 variations),How did you calculate my probability?,How did you calculate my probability?,answered,dry-run,,0,
ask_explanation (12 variations),What makes me likely or unlikely for placement?,What makes me likely or unlikely for placement?,answered,dry-run,,0,
ask_explanation (12 variations),How does my profile impact my salary?,How does my profile impact my salary?,answered,dry-run,,0,
ask_explanation (12 variations),Why was I assigned this role?,Why was I assigned this role?,answered,dry-run,,0,
ask_filter_templates (4 variations),Show companies with CGPA requirement below 7.5,Show companies with CGPA requirement below 7.5,answered,dry-run,,0,
ask_filter_templates (4 variations),Show companies with max package above 25 LPA,Show companies with max package above 25 LPA,answered,dry-run,,0,
ask_filter_templates (4 variations),Show companies with hiring intensity above 10,Show companies with hiring intensity above 10,answered,dry-run,,0,
ask_filter_templates (4 variations),Show companies that allow backlogs,Show companies that allow backlogs,answered,dry-run,,0,
ask_general_hr_question (10 variations),hr interview question,hr interview question,answered,dry-run,,0,
ask_general_hr_question (10 variations),how to answer hr questions,how to answer hr questions,answered,dry-run,,0,
ask_general_hr_question (10 variations),what are common hr rounds?,what are common hr rounds?,answered,dry-run,,0,
ask_general_hr_question (10 variations),tell me about hr interviews,tell me about hr interviews,answered,dry-run,,0,
ask_general_hr_question (10 variations),general hr tips,general hr tips,answered,dry-run,,0,
ask_general_hr_question (10 variations),common behavioral questions,common behavioral questions,answered,dry-run,,0,
ask_general_hr_question (10 variations),how to prepare for hr round,how to prepare for hr round,answered,dry-run,,0,
ask_general_hr_question (10 variations),hr interview preparation,hr interview preparation,answered,dry-run,,0,
ask_general_hr_question (10 variations),sample hr questions,sample hr questions,answered,dry-run,,0,
ask_general_hr_question (10 variations),how to handle managerial round?,how to handle managerial round?,answered,dry-run,,0,
ask_general_preparation (6 variations),How to prepare for placements?,How to prepare for placements?,answered,dry-run,,0,
ask_general_preparation (6 variations),placement preparation tips,placement preparation tips,answered,dry-run,,0,
ask_general_preparation (6 variations),what should I study?,what should I study?,answered,dry-run,,0,
ask_general_preparation (6 variations),how to crack placements?,how to crack placements?,answered,dry-run,,0,
ask_general_preparation (6 variations),preparation strategy,preparation strategy,answered,dry-run,,0,
ask_general_preparation (6 variations),how to get placed,how to get placed,answered,dry-run,,0,
ask_hiring_intensity_templates (4 variations),Which companies are hiring the most students?,Which companies are hiring the most students?,answered,dry-run,,0,
ask_hiring_intensity_templates (4 variations),Which company has the highest hiring intensity?,Which company has the highest hiring intensity?,answered,dry-run,,0,
ask_hiring_intensity_templates (4 variations),Which companies hire the least students?,Which companies hire the least students?,answered,dry-run,,0,
ask_hiring_intensity_templates (4 variations),Which companies have high hiring chances?,Which companies have high hiring chances?,answered,dry-run,,0,
ask_hiring_roles (3 variations),What roles does Microsoft offer?,What roles does Microsoft offer?,answered,dry-run,,0,
ask_hiring_roles (3 variations),What kind of roles does Flipkart hire for?,What kind of roles does Flipkart hire for?,answered,dry-run,,0,
ask_hiring_roles (3 variations),What companies hire Software Engineers?,What companies hire Software Engineers?,answered,dry-run,,0,
ask_internship_policy (7 variations),Do companies provide internships?,Do companies provide internships?,answered,dry-run,,0,
ask_internship_policy (7 variations),internship opportunities,internship opportunities,answered,dry-run,,0,
ask_internship_policy (7 variations),are internships available?,are internships available?,answered,dry-run,,0,
ask_internship_policy (7 variations),company internship policy,company internship policy,answered,dry-run,,0,
ask_internship_policy (7 variations),do they offer PPO?,do they offer PPO?,answered,dry-run,,0,
ask_internship_policy (7 variations),what is PPO?,what is PPO?,answered,dry-run,,0,
ask_internship_policy (7 variations),internship to full time,internship to full time,answered,dry-run,,0,
ask_interview_process (8 variations),What is the interview process for Amazon?,What is the interview process for Amazon?,answered,dry-run,,0,
ask_interview_process (8 variations),How many rounds does Google have?,How many rounds does Google have?,answered,dry-run,,0,
ask_interview_process (8 variations),What is Round 1 for Microsoft?,What is Round 1 for Microsoft?,answered,dry-run,,0,
ask_interview_process (8 variations),What happens in the first round of Flipkart?,What happens in the first round of Flipkart?,answered,dry-run,,0,
ask_interview_process (8 variations),What is the focus of Round 2 for Amazon?,What is the focus of Round 2 for Amazon?,answered,dry-run,,0,
ask_interview_process (8 variations),What happens in the HR round?,What happens in the HR round?,answered,dry-run,,0,
ask_interview_process (8 variations),Which companies have 4 interview rounds?,Which companies have 4 interview rounds?,answered,dry-run,,0,
ask_interview_process (8 variations),Which companies have the longest interview process?,Which companies have the longest interview process?,answered,dry-run,,0,
ask_leetcode_company_questions (14 variations),give me leetcode interview questions for [amazon](company),give me leetcode interview questions for amazon,answered,dry-run,,0,
ask_leetcode_company_questions (14 variations),show companywise leetcode questions for [google](company),show companywise leetcode questions for google,answered,dry-run,,0,
ask_leetcode_company_questions (14 variations),generate leetcode report for [microsoft](company),generate leetcode report for microsoft,answered,dry-run,,0,
ask_leetcode_company_questions (14 variations),get all leetcode questions asked in [meta](company),get all leetcode questions asked in meta,answered,dry-run,,0,
ask_leetcode_company_questions (14 variations),show latest leetcode questions for [amazon](company),show latest leetcode questions for amazon,answered,dry-run,,0,
ask_leetcode_company_questions (14 variations),newest interview questions for [google](company),newest interview questions for google,answered,dry-run,,0,
ask_leetcode_company_questions (14 variations),recent leetcode questions for [adobe](company),recent leetcode questions for adobe,answered,dry-run,,0,
ask_leetcode_company_questions (14 variations),leetcode questions for [uber](company) in last 30 days,leetcode questions for uber in last 30 days,answered,dry-run,,0,
ask_leetcode_company_questions (14 variations),leetcode questions for [netflix](company) in last 3 months,leetcode questions for netflix in last 3 months,answered,dry-run,,0,
ask_leetcode_company_questions (14 variations),leetcode questions for [apple](company) in 6 months,leetcode questions for apple in 6 months,answered,dry-run,,0,
ask_leetcode_company_questions (14 variations),questions for [flipkart](company) older than six months,questions for flipkart older than six months,answered,dry-run,,0,
ask_leetcode_company_questions (14 variations),build downloadable pdf report for [microsoft](company) leetcode questions,build downloadable pdf report for microsoft leetcode questions,answered,dry-run,,0,
ask_leetcode_company_questions (14 variations),I need companywise coding questions for [meta](company),I need companywise coding questions for meta,answered,dry-run,,0,
ask_leetcode_company_questions (14 variations),interview question roadmap for [amazon](company),interview question roadmap for amazon,answered,dry-run,,0,
ask_max_package (2 variations),What is the maximum package offered by Google?,What is the maximum package offered by Google?,answered,dry-run,,0,
ask_max_package (2 variations),Which company has the highest max package?,Which company has the highest max package?,answered,dry-run,,0,
ask_min_cgpa (4 variations),What is the minimum CGPA required for Amazon?,What is the minimum CGPA required for Amazon?,answered,dry-run,,0,
ask_min_cgpa (4 variations),Can I sit for Google if my CGPA is 7.5?,Can I sit for Google if my CGPA is 7.5?,answered,dry-run,,0,
ask_min_cgpa (4 variations),Which companies have the highest CGPA requirement?,Which companies have the highest CGPA requirement?,answered,dry-run,,0,
ask_min_cgpa (4 variations),Which companies have the lowest CGPA requirement?,Which companies have the lowest CGPA requirement?,answered,dry-run,,0,
ask_multi_factor (12 variations),"What is the salary, eligibility, and difficulty for [Amazon](company)?","What is the salary, eligibility, and difficulty for Amazon?",answered,dry-run,,0,
ask_multi_factor (12 variations),Give me complete hiring information for [Google](company),Give me complete hiring information for Google,answered,dry-run,,0,
ask_multi_factor (12 variations),"What package, CGPA requirement, and roles does [Microsoft](company) offer?","What package, CGPA requirement, and roles does Microsoft offer?",answered,dry-run,,0,
ask_multi_factor (12 variations),Tell me everything about [Infosys](company) placement,Tell me everything about Infosys placement,answered,dry-run,,0,
ask_multi_factor (12 variations),Full placement profile of [TCS](company),Full placement profile of TCS,answered,dry-run,,0,
ask_multi_factor (12 variations),Complete details of [Wipro](company),Complete details of Wipro,answered,dry-run,,0,
ask_multi_factor (12 variations),What are all the requirements and salary for [Adobe](company)?,What are all the requirements and salary for Adobe?,answered,dry-run,,0,
